Mods count: 394
 
                                    jar name                                     |    notes     |                 mod id                  |                      mod name                       |          mod version           |                                                                                                                                                                            mixin configs                                                                                                                                                                            |              modrinth hash               | curseforge hash
---------------------------------------------------------------------------------+--------------+-----------------------------------------+-----------------------------------------------------+--------------------------------+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------------------------------------+----------------
neoforge-21.1.233 (modloader)                                                    |              | neoforge                                | neoforge                                            | neoforge-21.1.233              |                                                                                                                                                                                                                                                                                                                                                                     |                                          |                
accessories-neoforge-1.1.0-beta.53+1.21.1.jar                                    |              | accessories                             | Accessories                                         | 1.1.0-beta.53+1.21.1           | accessories-forge.mixins.json, accessories-common.mixins.json                                                                                                                                                                                                                                                                                                       | 77d75c2e13cfdf56a45cdd29806c1c97c3d250fc | 2661209689     
accessories_compat_layer-neoforge-0.1.12+1.21.1.jar                              |              | accessories_compat_layer                | Accessories Compatibility Layer                     | 0.1.12                         | accessories_compat_layer-neoforge.mixins.json, accessories_compat_layer-curios.mixins.json, accessories_compat_layer-trinkets.mixins.json, accessories_compat_layer-common.mixins.json                                                                                                                                                                              | 59dd35650925d72f5158816caf895f3d9fa0edf4 | 3503433516     
accessorify-2.3.6+1.21.1.jar                                                     |              | accessorify                             | Accessorify                                         | 2.3.6                          | accessorify.mixins.json                                                                                                                                                                                                                                                                                                                                             | f303961a0390f1ecf0d2a53cd81375261b6e1dfa | 243818914      
    /META-INF/jarjar/mixinconstraints-1.1.0.jar                                  |              |                                         |                                                     |                                |                                                                                                                                                                                                                                                                                                                                                                     |                                          |                
additional_lights-neoforge-1.21-2.1.10.jar                                       |              | additional_lights                       | Additional Lights                                   | 2.1.10                         |                                                                                                                                                                                                                                                                                                                                                                     | 8dc485146437e8ac40dd29e10747601fd4e372ca | 4009118619     
AdvancedBackups-neoforge-1.21-3.7.1.jar                                          |              | advancedbackups                         | Advanced Backups                                    | 3.7.1                          |                                                                                                                                                                                                                                                                                                                                                                     | 3d328e772b19d6d12f4b075cca2120bbcca2b09d | 3405086815     
advancednetherite-neoforge-2.3.1-1.21.1.jar                                      |              | advancednetherite                       | Advanced Netherite                                  | 2.3.1                          |                                                                                                                                                                                                                                                                                                                                                                     | 99003aafa635f316bdcf2db4a70989890a4d944d | 3884767971     
AdvancementPlaques-1.21.1-neoforge-1.6.8.jar                                     |              | advancementplaques                      | Advancement Plaques                                 | 1.6.8                          |                                                                                                                                                                                                                                                                                                                                                                     | 829d33e71b30e9158d772f5963bb6020f6026d78 | 721102153      
aether-1.21.1-1.5.10-neoforge.jar                                                |              | aether                                  | The Aether                                          | 1.5.10                         | aether.mixins.json                                                                                                                                                                                                                                                                                                                                                  | 5b5592989c6d2aabf80a9f100e18c258813db497 | 1480454448     
